C C
C1=CCCCCC=1 C1=CCC[CH2:1][CH2:1]C=1
C1=CCCCNC=C1 C1=CCCCN[CH:1]=C1
C1=CCCCNC=C1 C1=CCCC[NH:1]C=C1
C1=CCCCNC=C1 C1=CCC[CH2:1]NC=C1
C1=CCCCNC=C1 C1=CNCCC[CH:1]=C1
C1=CCCCNC=C1 C1=C[CH:1]=CCCCN1
C1=CCCCNC=C1 C1=C[CH:1]=CNCCC1
C1=CCCCNC=C1 C1=C[CH:1]=[CH:1]NCCC1
C1=CCCN=C1 C1=CC[CH2:1]N=C1
C1=CCCN=C1 C1=C[CH2:1]CN=C1
C1=CCCN=C1 C1=C[CH2:1][CH2:1]N=C1
C1=CCCN=C1 C1=C[CH:1]=NCC1
C1=CCCN=C1 C1=NCCC=[CH:1]1
C1=CCCN=C1 C1=NCC[CH:1]=C1
C1=CCCN=C1 C1=NCC[CH:1]=[CH:1]1
C1=CCCN=C1 C1=NC[CH2:1][CH:1]=C1
C1=CCCOC=C1 C1=CCCO[CH:1]=C1
C1=CCCOC=C1 C1=CC[CH2:1]OC=C1
C1=CCCOC=C1 C1=COCC[CH:1]=C1
C1=CCCOC=C1 C1=COC[CH2:1]C=C1
C1=CCCOC=C1 C1=CO[CH2:1][CH2:1]C=C1
C1=CCCOC=C1 C1=C[CH:1]=CCCO1
C1=CCCOC=C1 C1=C[CH:1]=COCC1
C1=CCCOC=C1 C1=[CH:1][CH:1]=COCC1
C1=CCCSC=1 C1=CC[CH2:1]SC=1
C1=CCCSC=1 C1=CSCC[CH:1]=1
C1=CCCSC=1 C1=CSC[CH2:1]C=1
C1=CCCSC=C1 C1=CCCS[CH:1]=C1
C1=CCCSC=C1 C1=CC[CH2:1]SC=C1
C1=CCCSC=C1 C1=CSCC[CH:1]=C1
C1=CCCSC=C1 C1=CSC[CH2:1]C=C1
C1=CCCSC=C1 C1=CS[CH2:1][CH2:1]C=C1
C1=CCCSC=C1 C1=C[CH:1]=CCCS1
